공포 확률,중립 확률,탐욕 확률,공포탐욕지수
0.041,0.8834,0.0756,51.73
0.3661,0.4749,0.159,39.65
0.0176,0.916,0.0664,52.44
0.0983,0.863,0.0387,47.02
0.033,0.9428,0.0241,49.55
0.4288,0.2904,0.2807,42.6
0.2291,0.364,0.4068,58.88
0.0474,0.9237,0.0289,49.08
0.0904,0.8593,0.0503,48.0
0.0677,0.6114,0.3209,62.66
0.0457,0.2332,0.7211,83.77
0.133,0.8211,0.0458,45.64
0.031,0.1883,0.7807,87.48
0.1331,0.108,0.7589,81.29
0.1682,0.6836,0.1481,48.99
0.1843,0.4882,0.3274,57.15
0.0558,0.8516,0.0926,51.84
0.3241,0.2077,0.4682,57.21
0.1433,0.5158,0.3409,59.88
0.0493,0.835,0.1157,53.32
0.033,0.8629,0.1042,53.56
0.0738,0.5454,0.3808,65.35
0.0321,0.9452,0.0227,49.53
0.0449,0.7764,0.1787,56.69
0.0275,0.9055,0.067,51.97
0.0387,0.3859,0.5755,76.84
0.1605,0.7236,0.1159,47.77
0.3231,0.296,0.3809,52.89
0.0765,0.0558,0.8676,89.56
0.2616,0.5392,0.1992,46.88
0.4193,0.3111,0.2696,42.52
0.0254,0.9611,0.0136,49.41
0.162,0.67,0.168,50.3
0.1174,0.8093,0.0733,47.8
0.2034,0.4842,0.3124,55.45
0.0377,0.9387,0.0235,49.29
0.0344,0.934,0.0316,49.86
0.0611,0.6194,0.3196,62.93
0.0729,0.3701,0.557,74.2
0.0661,0.89,0.044,48.89
0.0685,0.8233,0.1083,51.99
0.0556,0.6295,0.3149,62.97
0.0534,0.8296,0.1169,53.18
0.3283,0.3241,0.3476,50.97
0.0791,0.8618,0.0591,49.0
0.0591,0.9141,0.0268,48.39
0.0776,0.6877,0.2347,57.85
0.0328,0.9451,0.0221,49.46
0.1129,0.5648,0.3223,60.47
0.0282,0.9562,0.0156,49.37
0.0693,0.4617,0.469,69.98
0.1467,0.767,0.0863,46.98
0.0287,0.9588,0.0124,49.19
0.3227,0.4933,0.1841,43.07
0.2508,0.6673,0.0819,41.55
0.0743,0.7566,0.1692,54.74
0.0317,0.9553,0.013,49.07
0.0424,0.9132,0.0445,50.11
0.0725,0.8817,0.0458,48.66
0.0236,0.0886,0.8878,93.21
0.2035,0.3221,0.4744,63.54
0.0876,0.8458,0.0667,48.96
0.1543,0.6456,0.2,52.29
0.0292,0.8031,0.1678,56.93
0.2318,0.24,0.5282,64.82
0.1043,0.8249,0.0708,48.33
0.3653,0.4383,0.1964,41.56
0.0452,0.9395,0.0153,48.51
0.0552,0.4775,0.4673,70.6
0.0789,0.8537,0.0673,49.42
0.1162,0.7565,0.1273,50.56
0.0632,0.574,0.3628,64.98
0.0643,0.8489,0.0867,51.12
0.0498,0.91,0.0401,49.52
0.076,0.6856,0.2384,58.12
0.0745,0.1363,0.7892,85.73
0.3009,0.5871,0.112,40.56
0.0281,0.9315,0.0404,50.61
0.0504,0.9194,0.0302,48.99
0.0809,0.1383,0.7808,85.0
0.2254,0.6135,0.1611,46.79
0.0346,0.9491,0.0163,49.09
0.0705,0.8146,0.115,52.22
0.1403,0.8055,0.0541,45.69
0.1898,0.5396,0.2706,54.04
0.0537,0.8902,0.0561,50.12
0.1883,0.4119,0.3998,60.58
0.0924,0.8593,0.0483,47.8
0.0604,0.7966,0.143,54.13
0.0718,0.9008,0.0274,47.78
0.1627,0.6728,0.1645,50.09
0.1989,0.6973,0.1037,45.24
0.0467,0.4943,0.459,70.61
0.0857,0.6035,0.3108,61.26
0.0415,0.9154,0.043,50.07
0.0544,0.9092,0.0364,49.1
0.1709,0.3323,0.4968,66.29
0.2637,0.3761,0.3602,54.82
0.162,0.7082,0.1297,48.38
0.0629,0.4162,0.5209,72.9
0.1523,0.3374,0.5104,67.91
0.2627,0.4021,0.3352,53.63
0.1839,0.4596,0.3566,58.63
0.0377,0.9121,0.0502,50.63
0.2929,0.582,0.125,41.61
0.2058,0.6235,0.1707,48.24
0.3636,0.2874,0.349,49.27
0.4224,0.4347,0.1429,36.03
0.056,0.8234,0.1206,53.23
0.046,0.8357,0.1183,53.61
0.0987,0.7549,0.1464,52.39
0.0314,0.9486,0.02,49.43
0.2213,0.5259,0.2528,51.58
0.1271,0.7516,0.1214,49.71
0.0937,0.2965,0.6097,75.8
0.1283,0.1557,0.716,79.39
0.0499,0.4256,0.5245,73.73
0.0347,0.1777,0.7877,87.65
0.026,0.9563,0.0177,49.58
0.0256,0.9398,0.0346,50.45
0.153,0.4026,0.4444,64.57
0.0926,0.8224,0.085,49.62
0.0382,0.934,0.0278,49.48
0.0247,0.8782,0.0972,53.63
0.0789,0.8591,0.062,49.15
0.1594,0.5578,0.2828,56.17
0.4055,0.353,0.2415,41.8
0.0538,0.9165,0.0297,48.8
0.0531,0.31,0.6369,79.19
0.0175,0.0593,0.9233,95.29
0.2449,0.4624,0.2927,52.39
0.0194,0.0852,0.8954,93.8
0.0546,0.8553,0.0901,51.77
0.3682,0.2936,0.3382,48.5
0.0611,0.1952,0.7438,84.13
0.0187,0.9607,0.0207,50.1
0.026,0.955,0.0191,49.66
0.4327,0.386,0.1813,37.43
0.065,0.3487,0.5863,76.06
0.0195,0.0433,0.9372,95.88
0.077,0.8296,0.0934,50.82
0.0286,0.9508,0.0206,49.6
0.0433,0.8256,0.1312,54.39
0.0425,0.2423,0.7152,83.64
0.0677,0.8513,0.0811,50.67
0.0543,0.7073,0.2385,59.21
0.0287,0.9518,0.0196,49.55
0.1687,0.4405,0.3908,61.1
0.2951,0.1934,0.5115,60.82
0.1197,0.1507,0.7297,80.5
0.2621,0.6441,0.0938,41.59
0.0707,0.8828,0.0465,48.79
0.0614,0.8751,0.0635,50.1
0.2467,0.3496,0.4036,57.84
0.102,0.5638,0.3342,61.61
0.0295,0.9538,0.0167,49.36
0.0449,0.8269,0.1282,54.17
0.0399,0.9307,0.0293,49.47
0.1196,0.8496,0.0309,45.56
0.0255,0.8566,0.1179,54.62
0.0253,0.9343,0.0404,50.75
0.0873,0.5926,0.3201,61.64
0.0304,0.838,0.1316,55.06
0.0489,0.7073,0.2438,59.75
0.3317,0.2761,0.3922,53.02
0.0371,0.9285,0.0344,49.86
0.0308,0.9357,0.0334,50.13
0.4244,0.4627,0.113,34.43
0.1484,0.6533,0.1983,52.49
0.0348,0.933,0.0322,49.87
0.0639,0.8412,0.095,51.55
0.0374,0.9232,0.0394,50.1
0.3622,0.1217,0.5161,57.69
0.2425,0.2328,0.5247,64.11
0.0604,0.888,0.0516,49.56
0.209,0.6062,0.1848,48.79
0.0415,0.6054,0.3531,65.58
0.2909,0.4717,0.2374,47.33
0.0422,0.8873,0.0705,51.42
0.0292,0.8513,0.1194,54.51
0.1337,0.6461,0.2202,54.33
0.0853,0.3869,0.5278,72.13
0.0713,0.8647,0.064,49.63
0.2854,0.6662,0.0484,38.15
0.0288,0.9243,0.0469,50.91
0.1124,0.8365,0.0511,46.93
0.3194,0.3862,0.2944,48.75
0.0654,0.9036,0.031,48.28
0.1214,0.6055,0.2731,57.59
0.629,0.3014,0.0697,22.04
0.0721,0.5925,0.3353,63.16
0.0471,0.9359,0.0171,48.5
0.0836,0.2861,0.6304,77.34
0.0523,0.9248,0.0229,48.53
0.0581,0.8397,0.1022,52.2
0.0234,0.9638,0.0128,49.47
0.0889,0.5598,0.3514,63.13
0.0961,0.8336,0.0704,48.71
0.0974,0.8298,0.0728,48.77
0.1622,0.6662,0.1716,50.47
0.0714,0.7367,0.1919,56.03
0.0816,0.8491,0.0693,49.38
0.0724,0.8257,0.1019,51.47
0.1644,0.3947,0.4408,63.82
0.4333,0.1653,0.4014,48.4
0.1227,0.7371,0.1403,50.88
0.0638,0.8591,0.0771,50.66
0.1161,0.825,0.0589,47.14
0.0382,0.0959,0.8659,91.38
0.213,0.4861,0.301,54.4
0.0381,0.8899,0.072,51.69
0.0325,0.9504,0.0172,49.24
0.1321,0.2971,0.5708,71.94
0.503,0.1861,0.3109,40.4
0.1844,0.6733,0.1423,47.89
0.0393,0.9424,0.0183,48.95
